,会社名,給与,初年度年収
54,株式会社KDDIエボルバ | 【年間休日123日／残業原則なし／20-30代若手活躍中／札幌勤務】,"月給219,500円〜275,500円 ＋時間外手当などの諸手当＋一時金(会社の業績による) ※経験・能力を考慮の…",300万円～400万円
55,株式会社カズテクニカ | 世界トップクラスの企業と取引多数◆年休120日以上◆賞与年2回,月給20万〜30万円 ※年齢・能力を考慮の上決定いたします。 ※能力に応じて上記以上の加給もございます。…,300万円～450万円
56,トヨタカローラ愛知株式会社 | [トヨタ自動車の正規ディーラー]大手ならではの福利厚生など魅力,月給20万円以上＋各種手当＋賞与年2回 ※上記月給は入社時の最低保障額です。 ※経験・能力を考慮し、 …,不明
57,auフィナンシャルサービス株式会社 | au PAY カードなど金融・決済サービスを展開◆フレックスタイム,◇月給23万円〜38.5万円 ※月給23万円はあくまで最低保証金額です。 年齢・経験・スキルを考慮の上、当社…,不明
58,株式会社KDDIエボルバ | 【“au”を展開する東証一部上場のKDDIグループ】★札幌勤務,月給18.4万円以上 ※残業代は1分単位で全額支給！ ※記載の月給額とは別に各種手当が加わります。 ※一…,250万円～350万円
59,株式会社リンクアップ | ★北海道で33店舗！道内トップクラスの店舗数＆売上で安定成長中,月給21万1132円〜24万8825円 ＋ 賞与年2回（2020年度実績：4ヶ月分） ※経験、能力などを考慮した上、決…,350万円～400万円
60,"大栄電気株式会社 | 【連結売上2,288億円・新菱冷熱グループ】★昨年度賞与6.0カ月分",月給／26万円〜 ※上記は最低支給額です。年齢、経験・スキルおよび、前職給与を最大限考慮し、決定いた…,400万円～700万円
61,株式会社ユニゾンベックス | ★プロ野球球団・大手スーパー・他有名企業との取引実績多数★,月給22万円以上 ※経験・能力・スキルを考慮し決定いたします。 ※試用期間2ヶ月あり（期間中の待遇に変…,300万円～500万円
62,株式会社KDDIエボルバ | ★年休123日★キレイなオフィス★オフィスワークが初めてでもOK,"月給16万5,500円〜20万円＋各種手当 ※試用期間3ヶ月(待遇同じ) ※経験スキルを考慮します。 ※昇給有（…",250万円～330万円
63,東通インテグレート株式会社 | 月給30万円～／週休2日制／福利厚生も充実♪,月給：30万円〜50万円 ※年齢、経験、能力を考慮の上、優遇いたします。 ※固定残業代20時間相当分(4万円…,350万円～600万円
