,会社名,給与,初年度年収
63,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
64,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
65,株式会社TTK | ★東証一部上場「ミライト・ホールディングス」のグループ企業！,"■月給：222,210円〜475,990円 ※あくまで最低保証額です。経験、能力、年齢などを考慮の上、当社規定に…",360万円～720万円
66,株式会社TTK | ◎東証一部上場「ミライト・ホールディングス」のグループ企業,"■月給：222,210円〜475,990円 ※あくまで最低保証額です。経験、能力、年齢などを考慮の上、当社規定に…",360万円～720万円
67,NTT西日本ビジネスフロント株式会社 | 関西・中四国・九州エリア積極採用中！転勤なし！★地域に貢献★,"【大阪】 月給21万7,000円+インセンティブ 【京都、奈良、滋賀、兵庫、愛知】 月給20万1,750円+インセン…",不明
68,株式会社NTTデータ経営研究所 | 事業変革とイノベーションの専門集団,●年俸制／500万〜1000万円 ※前職給与を考慮の上、年俸額を決定します。,500万円～1000万円
69,株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,"■月給21万6,260円以上 ※経験・年齢など考慮し、面接時に話し合いの上決定。 ※試用期間4ヶ月あり(待遇…",450万円～1000万円
70,インターネットウェア株式会社 | ［TCSグループの中枢を担う］／★年休125日以上／★残業20h以内,月給25万円〜50万円 ※時間外手当全額支給 ※各種手当別途支給 ※スキル・経験・能力を考慮のうえ、当社…,300万円～600万円
71,株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,"■月給21万6,260円以上 ※経験・年齢など考慮し、面接時に話し合いの上決定。 ☆35歳モデル例／月給36万8…",450万円～1000万円
72,株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,"■月給21万6,260円以上 ※経験・年齢など考慮し、面接時に話し合いの上決定。 ☆35歳モデル例／月給36万8…",450万円～1000万円
73,株式会社NTTフィールドテクノ | 年休120日↑/有休・女性育休100％取得/大阪府緊急雇用対策に賛同,"時給1100円以上 + 諸手当 + 賞与年2回 【月収例】 ◆月収16万5000円+サポート手当3,500円 　…時給1100…",不明
74,NTTタウンページ株式会社 | 【NTT東日本100％出資】★正社員登用実績多数 ★研修充実,"月給：174,750円以上 ＋残業代全額支給 ※あなたの経験や能力を考慮の上、決定いたします。 ※固定残業は…",不明
75,株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,"■月給21万6,260円以上 ※経験・年齢など考慮し、面接時に話し合いの上決定。 ☆35歳モデル例／月給36万8…",450万円～1000万円
